country,countrycode,year,pop,urbanpop,urbanpopper,emission,emission1996,emissionpc,emissionpc1996,gdp,gdpmil,gdp1996,gdppc,gdppc1996,gdpgrowth,decoup,consume,eneuse,consumeep,consumeff,consumere,co2inten,epdtloss,manuperc,manuexp,polity,ETS,carbontax
Belgium,BEL,2010,10895586.00 ,10638559.00 ,97.64 ,136.64 ,0.85 ,12.54 ,0.79 ,484000000000.00 ,483548.03 ,1.33 ,44421.66 ,1.24 ,2.74,282.58 ,23058.32 ,5539.47 ,8393.95 ,73.25 ,5.84 ,1.84 ,4.56 ,14.72 ,74.97 ,8,1 ,0 
Belgium,BEL,2011,11047744.00 ,10792210.00 ,97.69 ,126.27 ,0.78 ,11.43 ,0.72 ,492000000000.00 ,492243.69 ,1.36 ,44533.98 ,1.25 ,1.80,256.52 ,22819.00 ,5087.95 ,8021.91 ,70.29 ,6.63 ,1.78 ,4.67 ,14.25 ,73.15 ,8,1 ,0 
Belgium,BEL,2012,11128246.00 ,10875857.00 ,97.73 ,123.11 ,0.76 ,11.06 ,0.70 ,493000000000.00 ,493399.46 ,1.36 ,44301.68 ,1.24 ,0.23,249.52 ,22786.31 ,4836.21 ,7973.22 ,71.14 ,7.76 ,1.77 ,5.06 ,14.08 ,72.29 ,8,1 ,0 
Belgium,BEL,2013,11182817.00 ,10934111.00 ,97.78 ,123.27 ,0.76 ,11.02 ,0.69 ,494000000000.00 ,494389.47 ,1.36 ,44174.92 ,1.24 ,0.20,249.33 ,22844.33 ,4987.00 ,7972.95 ,70.70 ,8.13 ,1.74 ,4.87 ,13.98 ,71.14 ,8,1 ,0 
Belgium,BEL,2014,11209057.00 ,10964475.00 ,97.82 ,118.15 ,0.73 ,10.54 ,0.66 ,501000000000.00 ,501070.82 ,1.38 ,44696.00 ,1.25 ,1.35,235.80 ,22930.05 ,4708.22 ,7709.12 ,72.45 ,9.07 ,1.77 ,5.43 ,14.05 ,72.51 ,8,1 ,0 
Bulgaria,BGR,1996,8362826.00 ,5687307.00 ,68.01 ,75.18 ,1.00 ,8.99 ,1.00 ,32299591235.00 ,32299.59 ,1.00 ,3862.28 ,1.00 ,1.60,2327.52 ,2355.53 ,2745.71 ,4350.44 ,77.48 ,3.55 ,2.46 ,13.78 ,15.00 ,60.10 ,8,0 ,0 
Bulgaria,BGR,1997,8312068.00 ,5671407.00 ,68.23 ,71.59 ,0.95 ,8.61 ,0.96 ,31944295760.00 ,31944.30 ,0.99 ,3843.12 ,1.00 ,-1.10,2241.12 ,1956.38 ,2504.12 ,3970.13 ,76.82 ,3.81 ,2.48 ,14.67 ,15.00 ,61.13 ,8,0 ,0 
Bulgaria,BGR,1998,8256786.00 ,5652100.00 ,68.45 ,67.48 ,0.90 ,8.17 ,0.91 ,33062346058.00 ,33062.35 ,1.02 ,4004.26 ,1.04 ,3.50,2040.87 ,2005.44 ,2425.95 ,3932.40 ,76.14 ,5.89 ,2.45 ,13.49 ,15.00 ,61.90 ,8,0 ,0 
Bulgaria,BGR,1999,8210624.00 ,5638810.00 ,68.68 ,60.51 ,0.80 ,7.37 ,0.82 ,31207548452.00 ,31207.55 ,0.97 ,3800.87 ,0.98 ,-5.61,1939.02 ,2087.12 ,2230.66 ,3613.37 ,74.74 ,6.63 ,2.40 ,17.42 ,15.00 ,58.52 ,8,0 ,0 
Bulgaria,BGR,2000,8170172.00 ,5629167.00 ,68.90 ,59.61 ,0.79 ,7.30 ,0.81 ,32771342925.00 ,32771.34 ,1.01 ,4011.10 ,1.04 ,5.01,1819.00 ,2263.79 ,2277.37 ,3673.61 ,72.39 ,7.98 ,2.34 ,15.48 ,13.78 ,56.77 ,8,0 ,0 
Bulgaria,BGR,2001,8009142.00 ,5539603.00 ,69.17 ,62.78 ,0.84 ,7.84 ,0.87 ,34163477850.00 ,34163.48 ,1.06 ,4265.56 ,1.10 ,4.25,1837.58 ,2487.62 ,2421.15 ,3859.09 ,73.15 ,7.28 ,2.40 ,14.09 ,14.65 ,60.82 ,9,0 ,0 
Bulgaria,BGR,2002,7837161.00 ,5448708.00 ,69.52 ,59.88 ,0.80 ,7.64 ,0.85 ,36219477716.00 ,36219.48 ,1.12 ,4621.50 ,1.20 ,6.02,1653.28 ,2690.14 ,2410.97 ,3853.82 ,70.47 ,8.73 ,2.36 ,14.66 ,15.04 ,62.15 ,9,0 ,0 
Bulgaria,BGR,2003,7775327.00 ,5433321.00 ,69.88 ,64.44 ,0.86 ,8.29 ,0.92 ,38058529755.00 ,38058.53 ,1.18 ,4894.78 ,1.27 ,5.08,1693.29 ,2884.97 ,2490.42 ,3997.90 ,74.09 ,9.16 ,2.44 ,14.24 ,15.71 ,65.80 ,9,0 ,0 
Bulgaria,BGR,2004,7716860.00 ,5419782.00 ,70.23 ,63.59 ,0.85 ,8.24 ,0.92 ,40553482000.00 ,40553.48 ,1.26 ,5255.18 ,1.36 ,6.56,1568.00 ,3181.19 ,2440.70 ,3971.82 ,73.98 ,9.60 ,2.48 ,12.29 ,14.70 ,62.35 ,9,0 ,0 
Bulgaria,BGR,2005,7658972.00 ,5406009.00 ,70.58 ,64.26 ,0.85 ,8.39 ,0.93 ,43488010218.00 ,43488.01 ,1.35 ,5678.05 ,1.47 ,7.24,1477.72 ,3444.41 ,2597.90 ,4165.18 ,72.96 ,9.89 ,2.41 ,11.10 ,15.83 ,59.25 ,9,1 ,0 
Bulgaria,BGR,2006,7601022.00 ,5391557.00 ,70.93 ,64.80 ,0.86 ,8.53 ,0.95 ,46424813785.00 ,46424.81 ,1.44 ,6107.71 ,1.58 ,6.75,1395.89 ,3769.75 ,2691.46 ,4366.91 ,72.48 ,10.00 ,2.39 ,10.78 ,15.78 ,53.27 ,9,1 ,0 
Bulgaria,BGR,2007,7545338.00 ,5378166.00 ,71.28 ,68.70 ,0.91 ,9.10 ,1.01 ,49988081047.00 ,49988.08 ,1.55 ,6625.03 ,1.72 ,7.68,1374.25 ,4277.30 ,2666.11 ,4523.32 ,77.72 ,8.87 ,2.60 ,10.93 ,16.29 ,55.46 ,9,1 ,0 
Bulgaria,BGR,2008,7492561.00 ,5366322.00 ,71.62 ,67.38 ,0.90 ,8.99 ,1.00 ,51806555515.00 ,51806.56 ,1.60 ,6914.40 ,1.79 ,3.64,1300.68 ,4451.99 ,2648.87 ,4674.50 ,76.14 ,9.95 ,2.56 ,10.47 ,14.61 ,51.23 ,9,1 ,0 
Bulgaria,BGR,2009,7444443.00 ,5357245.00 ,71.96 ,58.20 ,0.77 ,7.82 ,0.87 ,49948696991.00 ,49948.70 ,1.55 ,6709.53 ,1.74 ,-3.59,1165.26 ,4277.85 ,2351.66 ,4483.75 ,73.02 ,11.66 ,2.44 ,10.65 ,14.69 ,52.76 ,9,1 ,0 
Bulgaria,BGR,2010,7395599.00 ,5347166.00 ,72.30 ,60.81 ,0.81 ,8.22 ,0.91 ,50610031136.00 ,50610.03 ,1.57 ,6843.26 ,1.77 ,1.32,1201.56 ,4366.34 ,2416.70 ,4560.41 ,73.16 ,14.37 ,2.47 ,9.74 ,13.47 ,49.24 ,9,1 ,0 
Bulgaria,BGR,2011,7348328.00 ,5337678.00 ,72.64 ,66.13 ,0.88 ,9.00 ,1.00 ,51579222347.00 ,51579.22 ,1.60 ,7019.18 ,1.82 ,1.92,1282.11 ,4480.50 ,2617.13 ,4863.69 ,75.04 ,13.28 ,2.57 ,8.79 ,15.68 ,48.33 ,9,1 ,0 
Bulgaria,BGR,2012,7305888.00 ,5331180.00 ,72.97 ,61.01 ,0.81 ,8.35 ,0.93 ,51595182819.00 ,51595.18 ,1.60 ,7062.14 ,1.83 ,0.03,1182.53 ,4641.22 ,2513.35 ,4761.91 ,72.19 ,15.75 ,2.43 ,9.08 ,15.79 ,47.59 ,9,1 ,0 
Bulgaria,BGR,2013,7265115.00 ,5325329.00 ,73.30 ,55.81 ,0.74 ,7.68 ,0.85 ,52039981143.00 ,52039.98 ,1.61 ,7162.99 ,1.85 ,0.86,1072.50 ,4552.11 ,2329.12 ,4639.71 ,70.21 ,18.16 ,2.34 ,9.04 ,14.68 ,48.07 ,9,1 ,0 
Bulgaria,BGR,2014,7223938.00 ,5318697.00 ,73.63 ,58.02 ,0.77 ,8.03 ,0.89 ,52731514288.00 ,52731.51 ,1.63 ,7299.55 ,1.89 ,1.33,1100.33 ,4703.74 ,2477.66 ,4708.93 ,71.04 ,16.97 ,2.37 ,8.55 ,15.19 ,53.44 ,9,1 ,0 
Croatia,CRO,1996,4494000.00 ,2473093.00 ,55.03 ,23.15 ,1.00 ,5.15 ,1.00 ,41894655329.00 ,41894.66 ,1.00 ,9322.35 ,1.00 ,5.87,552.55 ,5636.90 ,1795.66 ,2438.81 ,74.49 ,34.13 ,2.10 ,17.08 ,18.32 ,72.46 ,-5,0 ,0 
Croatia,CRO,1997,4572000.00 ,2522372.00 ,55.17 ,24.40 ,1.05 ,5.34 ,1.04 ,44678753801.00 ,44678.75 ,1.07 ,9772.26 ,1.05 ,6.65,546.14 ,6105.62 ,1866.66 ,2588.80 ,77.13 ,29.21 ,2.22 ,17.52 ,18.56 ,69.28 ,-5,0 ,0 
Croatia,CRO,1998,4501000.00 ,2489458.00 ,55.31 ,24.77 ,1.07 ,5.50 ,1.07 ,45510618989.00 ,45510.62 ,1.09 ,10111.22 ,1.08 ,1.86,544.31 ,6196.33 ,1958.89 ,2649.63 ,78.23 ,28.11 ,2.29 ,20.31 ,17.69 ,76.37 ,-5,0 ,0 
Croatia,CRO,1999,4554000.00 ,2525102.00 ,55.45 ,25.84 ,1.12 ,5.67 ,1.10 ,45084867152.00 ,45084.87 ,1.08 ,9900.06 ,1.06 ,-0.94,573.19 ,5953.68 ,1912.82 ,2753.62 ,78.27 ,27.81 ,2.30 ,15.89 ,17.55 ,75.64 ,1,0 ,0 
Croatia,CRO,2000,4426000.00 ,2460281.00 ,55.59 ,25.46 ,1.10 ,5.75 ,1.12 ,46783437796.00 ,46783.44 ,1.12 ,10570.14 ,1.13 ,3.77,544.15 ,6293.96 ,1894.74 ,2855.85 ,77.91 ,26.79 ,2.31 ,18.31 ,17.77 ,72.54 ,8,0 ,0 
Croatia,CRO,2001,4440000.00 ,2474190.00 ,55.73 ,26.67 ,1.15 ,6.01 ,1.17 ,48390170226.00 ,48390.17 ,1.16 ,10898.69 ,1.17 ,3.43,551.17 ,6492.81 ,1960.55 ,2898.65 ,77.79 ,26.95 ,2.34 ,19.27 ,17.66 ,73.21 ,8,0 ,0 
Croatia,CRO,2002,4440000.00 ,2480894.00 ,55.88 ,27.67 ,1.20 ,6.23 ,1.21 ,50928948181.00 ,50928.95 ,1.22 ,11470.48 ,1.23 ,5.25,543.35 ,6943.42 ,2016.98 ,3092.34 ,79.71 ,24.63 ,2.40 ,16.35 ,17.26 ,72.51 ,8,0 ,0 
Croatia,CRO,2003,4440000.00 ,2488176.00 ,56.04 ,29.03 ,1.25 ,6.54 ,1.27 ,53759531775.00 ,53759.53 ,1.28 ,12108.00 ,1.30 ,5.56,539.98 ,7229.01 ,2163.81 ,3157.66 ,79.50 ,24.84 ,2.39 ,19.28 ,16.64 ,71.63 ,8,0 ,0 
Croatia,CRO,2004,4439000.00 ,2495473.00 ,56.22 ,29.14 ,1.26 ,6.56 ,1.27 ,55954431684.00 ,55954.43 ,1.34 ,12605.19 ,1.35 ,4.08,520.69 ,7519.47 ,2163.36 ,3325.52 ,78.04 ,26.59 ,2.33 ,16.00 ,16.33 ,72.47 ,8,0 ,0 
Croatia,CRO,2005,4442000.00 ,2505555.00 ,56.41 ,29.57 ,1.28 ,6.66 ,1.29 ,58284285195.00 ,58284.29 ,1.39 ,13121.18 ,1.41 ,4.16,507.36 ,7806.45 ,2194.35 ,3475.91 ,77.03 ,26.84 ,2.32 ,16.32 ,15.63 ,68.26 ,9,0 ,0 
Croatia,CRO,2006,4440000.00 ,2513395.00 ,56.61 ,29.87 ,1.29 ,6.73 ,1.31 ,61073258694.00 ,61073.26 ,1.46 ,13755.24 ,1.48 ,4.79,489.10 ,8066.19 ,2183.14 ,3635.81 ,77.64 ,25.52 ,2.33 ,14.77 ,15.21 ,65.60 ,9,0 ,0 
Croatia,CRO,2007,4436000.00 ,2520624.00 ,56.82 ,31.35 ,1.35 ,7.07 ,1.37 ,64218534558.00 ,64218.53 ,1.53 ,14476.68 ,1.55 ,5.15,488.19 ,8578.63 ,2272.14 ,3737.60 ,79.66 ,22.67 ,2.36 ,16.15 ,15.18 ,68.32 ,9,0 ,0 
Croatia,CRO,2008,4434508.00 ,2529798.00 ,57.05 ,30.21 ,1.30 ,6.81 ,1.32 ,65537175791.00 ,65537.18 ,1.56 ,14778.91 ,1.59 ,2.05,460.90 ,8693.91 ,2215.90 ,3878.00 ,78.05 ,24.16 ,2.30 ,13.35 ,15.08 ,69.63 ,9,0 ,0 
Croatia,CRO,2009,4429078.00 ,2537286.00 ,57.29 ,28.22 ,1.22 ,6.37 ,1.24 ,60698052947.00 ,60698.05 ,1.45 ,13704.44 ,1.47 ,-7.38,464.96 ,8060.04 ,2145.36 ,3711.61 ,76.13 ,27.18 ,2.23 ,15.10 ,14.44 ,66.40 ,9,0 ,0 
Croatia,CRO,2010,4417781.00 ,2541859.00 ,57.54 ,27.63 ,1.19 ,6.25 ,1.21 ,59665427465.00 ,59665.43 ,1.42 ,13505.75 ,1.45 ,-1.70,463.02 ,7960.91 ,2124.92 ,3813.68 ,74.29 ,29.78 ,2.15 ,13.67 ,14.16 ,67.80 ,9,0 ,0 
Croatia,CRO,2011,4280622.00 ,2474200.00 ,57.80 ,27.24 ,1.18 ,6.36 ,1.24 ,59497610895.00 ,59497.61 ,1.42 ,13899.29 ,1.49 ,-0.28,457.85 ,8242.70 ,2140.44 ,3900.60 ,74.64 ,27.19 ,2.16 ,16.28 ,14.39 ,66.94 ,9,0 ,0 
Croatia,CRO,2012,4267558.00 ,2478342.00 ,58.07 ,25.45 ,1.10 ,5.96 ,1.16 ,58196142797.00 ,58196.14 ,1.39 ,13636.87 ,1.46 ,-2.19,437.37 ,8017.15 ,2020.75 ,3819.28 ,72.24 ,29.42 ,2.09 ,17.81 ,14.48 ,63.31 ,9,0 ,0 
Croatia,CRO,2013,4255689.00 ,2483578.00 ,58.36 ,24.29 ,1.05 ,5.71 ,1.11 ,57576981757.00 ,57576.98 ,1.37 ,13529.41 ,1.45 ,-1.06,421.87 ,7897.42 ,1983.87 ,3754.27 ,71.30 ,32.84 ,2.08 ,13.94 ,14.12 ,62.81 ,9,1 ,0 
Croatia,CRO,2014,4238389.00 ,2486069.00 ,58.66 ,23.42 ,1.01 ,5.53 ,1.07 ,57293842615.00 ,57293.84 ,1.37 ,13517.83 ,1.45 ,-0.49,408.75 ,7802.20 ,1897.84 ,3714.38 ,70.70 ,33.65 ,2.09 ,13.13 ,14.65 ,63.35 ,9,1 ,0 
Cyprus,CYP,1996,873423.00 ,595334.00 ,68.16 ,8.12 ,1.00 ,9.29 ,1.00 ,15848953265.00 ,15848.95 ,1.00 ,18145.79 ,1.00 ,1.33,512.21 ,14336.13 ,2157.55 ,2816.50 ,97.59 ,3.36 ,3.15 ,5.71 ,10.26 ,51.55 ,10,0 ,0 
Cyprus,CYP,1997,891192.00 ,608533.00 ,68.28 ,8.24 ,1.01 ,9.24 ,0.99 ,16255575304.00 ,16255.58 ,1.03 ,18240.26 ,1.01 ,2.57,506.60 ,14480.25 ,2071.93 ,2866.95 ,97.59 ,3.29 ,3.17 ,6.34 ,10.08 ,56.12 ,10,0 ,0 
Cyprus,CYP,1998,908704.00 ,621599.00 ,68.41 ,8.60 ,1.06 ,9.47 ,1.02 ,17106644686.00 ,17106.64 ,1.08 ,18825.32 ,1.04 ,5.24,502.96 ,15120.42 ,2174.78 ,3097.82 ,97.68 ,3.26 ,3.24 ,5.88 ,9.62 ,53.77 ,10,0 ,0 
Cyprus,CYP,1999,926050.00 ,634594.00 ,68.53 ,8.88 ,1.09 ,9.59 ,1.03 ,17932647298.00 ,17932.65 ,1.13 ,19364.66 ,1.07 ,4.83,495.35 ,15418.56 ,2145.32 ,3178.01 ,97.69 ,3.23 ,3.21 ,6.24 ,9.32 ,52.17 ,10,0 ,0 
